 id  |                             title                             |                                 author                                 |                  genre                   
  70 | La Feinte par amour                                           | Claude-Joseph Dorat                                                    | comédie
 766 | La Coupe Enchantée                                            | Charles Chevillet; Jean de La Fontaine                                 | Comédie
 767 | Pygmalion                                                     | Jean Jacques Rousseau                                                  | Comédie
 768 | L' Epreuve réciproque                                         | Marc-Antoine Legrand / Le Grand                                        | Comédie
 769 | Orphanis                                                      | Adrian-Michel-Hyacinthe Blin de Sainmore                               | Tragédie
 770 | L' Ecole des moeurs ou les suites du libertinage              | Charles-Georges Fenouillot de Falbaire de Quingey                      | Drame
 771 | L' Eté des coquettes                                          | Florent Carton dit Dancourt                                            | Comédie
 772 | Les Bourgeoises à la mode                                     | Florent Carton dit Dancourt                                            | Comédie
 773 | Le Médecin malgré lui                                         | Jean-Baptiste Poquelin dit Molière                                     | Comédie
 774 | Iphigenie                                                     | Jean Racine                                                            | Tragédie
 775 | La Jeune Indienne                                             | Sébastien-Roch-Nicholas de Chamfort                                    | Comédie
 776 | Cinna ou la Clémence d'Auguste                                | Pierre Corneille                                                       | Tragédie
 777 | Le Temps passé                                                | Marc-Antoine Legrand / Le Grand                                        | Comédie
 778 | L' Impromptu de campagne                                      | Philippe Poisson                                                       | Comédie
 779 | L' Enfant prodigue ou L' Ecole de la jeunesse                 | François-Marie Arouet dit Voltaire                                     | Comédie
  27 | Héraclius, empereur d'Orient                                  | Pierre Corneille                                                       | tragédie
 754 | Les Soubrettes                                                | Laujon                                                                 | comédie en 5 actes
 780 | L' Esprit de contradiction                                    | Charles du Fresny / Dufresny                                           | Comédie
 781 | La Métromanie                                                 | Alexis Piron                                                           | Comédie
  88 | Le Bourgeois gentilhomme                                      | Jean-Baptiste Poquelin dit Molière                                     | comédie
  92 | Le Charivari                                                  | Florent Carton dit Dancourt                                            | comédie
 782 | L' Ecole des femmes                                           | Jean-Baptiste Poquelin dit Molière                                     | Comédie
 855 | Le Bourgeois gentilhomme                                      | Jean-Baptiste Poquelin                                                 | comédie
 783 | Le Dissipateur ou l' Honnête friponne                         | Philippe Néricault dit Destouches                                      | Comédie
 784 | Beverlei                                                      | Bernard-Joseph  Saurin                                                 | Tragédie
 785 | Le Café ou l' Ecossaise                                       | François-Marie Arouet dit Voltaire                                     | Comédie
 786 | Les Fausses infidelités                                       | Nicolas-Thomas Barthe                                                  | Comédie
 787 | Inès de Castro                                                | Antoine Houdar / Houdard de La Motte / La Mothe                        | Tragédie
 788 | L’ Ecole amoureuse                                            | Antoine Bret                                                           | Comédie
 789 | La Somnambule                                                 | Antoine de Fériol de Pont-de-Veyle                                     | Comédie
 790 | Hylas et Sylvie                                               | Marc-Antoine-Jacques Rochon de Chabannes                               | Comédie
 791 | L' Aveugle clairvoyant                                        | Marc-Antoine Legrand / Le Grand                                        | Comédie
 792 | L' Ecole des mères                                            | Pierre-Claude Nivelle de La Chaussée                                   | Comédie
 793 | L' Esprit follet ou La Dame invisible                         | Noël Lebreton de Hauteroche                                            | Comédie
 794 | Iphigenie en Tauride                                          | Claude Guimond de la Touche                                            | Tragédie
 795 | Zelmire                                                       | Pierre-Laurent  Buirette dit Dormont de Belloy                         | Tragédie
 796 | La Nouveauté                                                  | Marc-Antoine Legrand / Le Grand                                        | Comédie
 797 | L' Esprit follet ou La Dame invisible                         | Charles Collé                                                          | Comédie
 798 | Caïus Marcius Coriolan ou le danger d'offenser un grand homme | Paul-Philippe  Gudin de La Brenellerie                                 | Tragédie
 799 | Le Retour Imprévu                                             | Jean-François Regnard                                                  | Comédie
 800 | Les Paniers ou La vieille prétieuse                           | Marc-Antoine Legrand / Le Grand                                        | Comédie
 801 | L' Homme à bonne fortune                                      | Michel Boiron / Boyron                                                 | Comédie
 802 | Zaïre                                                         | François-Marie Arouet dit Voltaire                                     | Tragédie
 803 | Le Deuil                                                      | Thomas Corneille                                                       | Comédie
 804 | Dupuis et Desronais                                           | Charles Collé                                                          | Comédie
 805 | les Amants Généreux                                           | Marc-Antoine-Jacques Rochon de Chabannes                               | Comédie
 806 | Le Mari Retrouvé                                              | Florent Carton dit Dancourt                                            | Comédie
 807 | L' Ecole des maris                                            | Jean-Baptiste Poquelin dit Molière                                     | Comédie
 808 | le Philosophe sans le savoir                                  | Michel-Jean Sedaine                                                    | Comédie
 809 | Crispin Rival de sons maître                                  | Alain-René le Sage / Lesage                                            | Comédie
 810 | L' Epoux par supercherie                                      | Louis de Boissy                                                        | Comédie
 811 | Le Celibataire                                                | Claude-Joseph Dorat                                                    | Comédie
 812 | Les Moeurs du temps                                           | Bernard-Joseph  Saurin                                                 | Comédie
 813 | Le Barbier de Séville ou la Précaution inutile                | Pierre-Augustin Caron de Beaumarchais                                  | Comédie
 814 | Amphityrion                                                   | Jean-Baptiste Poquelin dit Molière                                     | Comédie
 815 | Le Menteur                                                    | Charles Collé                                                          | Comédie
 816 | Le Comte d’Essex                                              | Thomas Corneille                                                       | Tragédie
 817 | La Jeune indienne                                             | Sébastien-Roch-Nicholas de Chamfort                                    | Comédie
 818 | L' Orphelin de la Chine                                       | François-Marie Arouet dit Voltaire                                     | Tragédie
 819 | Le Naufrage ou la Pompe funèbre de Crispin                    | Joseph de la Font                                                      | Comédie
 820 | Roméo et Juliette                                             | Jean-François  Ducis                                                   | Tragédie
 821 | Roméo et Juliette                                             | Jean-François Ducis                                                    | Tragédie
