  id  | acts | expert_validated |                                                                title                                                                |                                                        author                                                        |                genre
 5150 |    3 | t                | Mariage interrompu (Le) ou La Fille supposée                                                                                        | Cailhava de L'Estandoux (Jean-François)                                                                              | comédie
 5266 |    1 | t                | Étrennes de l’amour (Les)                                                                                                           | Cailhava de L'Estandoux (Jean-François)                                                                              | comédie-ballet
 5110 |    5 | t                | Fabricant de Londres (Le)                                                                                                           | Fenouillot de Falbaire de Quingey (Charles-Georges)                                                                  | drame
 5389 |    5 | t                | Orphanis                                                                                                                            | Blin de Sainmore (Adrien-Michel-Hyacinthe)                                                                           | tragédie
 4845 |    3 | t                | Albert premier ou Adeline                                                                                                           | Le Blanc de Guillet (Antoine)                                                                                        | comédie héroïque
 5048 |    1 | t                | Amour français (L')                                                                                                                 | Rochon de Chabannes (Marc-Antoine-Jacques)                                                                           | comédie
 4936 |    3 | t                | Henriette                                                                                                                           | Raucourt (Françoise-Marie-Antoinette-Josèphe Saucerotte dite Mademoiselle)                                           | drame
 5373 |    1 | t                | Molière à la nouvelle salle ou les Audiences de Thalie                                                                              | La Harpe (Jean François de)                                                                                          | comédie
 5431 |    5 | t                | Tibère et Sérénus                                                                                                                   | Fallet (Nicolas)                                                                                                     | tragédie
 5231 |    3 | t                | Épreuve délicate (L')                                                                                                               | Grouvelle (Philippe-Antoine)                                                                                         | comédie
 5417 |    5 | t                | Roxelane et Mustapha                                                                                                                | Simonet de Maisonneuve (Louis-Jean-Baptiste)                                                                         | tragédie
 5003 |    4 | t                | Maison de Molière (La)                                                                                                              | Mercier (Louis-Sebastien)                                                                                            | comédie
 5346 |    5 | t                | Optimiste ou l'Homme content de tout (L')                                                                                           | Collin d'Harleville (Jean-François)                                                                                  | comédie
 4962 |    5 | t                | Belle-mère ou les Dangers d'un second mariage (La)                                                                                  | Vigée (Louis-Jean-Baptiste-Étienne)                                                                                  | comédie
 5179 |    5 | t                | Présomptueux ou l'Heureux imaginaire (Le)                                                                                           | Fabre d'Églantine (Philippe-François-Nazaire)                                                                        | comédie
 5171 |    5 | t                | Philinte de Molière ou la Suite du Misanthrope (Le)                                                                                 | Fabre d'Églantine (Philippe-François-Nazaire)                                                                        | comédie
 5362 |    3 | t                | Marius à Minturnes                                                                                                                  | Arnault (Antoine Vincent)                                                                                            | tragédie
 5439 |    3 | t                | Virginie ou la Destruction des Décemvirs                                                                                            | Doigny du Ponceau                                                                                                    | tragédie
 5114 |    5 | t                | Faux insouciant (Le)                                                                                                                | Simonet de Maisonneuve (Louis-Jean-Baptiste)                                                                         | comédie
 5352 |    5 | t                | Lovelace                                                                                                                            | Lemercier (Louis-Népomucène)                                                                                         | comédie
 5097 |    3 | t                | Conteur ou les Deux postes (Le)                                                                                                     | Picard (Louis-Benoît)                                                                                                | comédie
 5515 |    5 | t                | Électre                                                                                                                             | Longepierre (Hilaire-Bernard de)                                                                                     | tragédie
 4874 |    5 | t                | Atrée et Thyeste                                                                                                                    | Crébillon père (Prosper Jolyot de Crébillon dit)                                                                     | tragédie
 5226 |    5 | t                | Enfant prodigue ou L'École de la jeunesse (L')                                                                                      | Voltaire (François-Marie Arouet dit)                                                                                 | comédie
 4994 |    5 | t                | Force du naturel (La)                                                                                                               | Destouches (Philippe Néricault dit)                                                                                  | comédie
 4906 |    1 | t                | Crispin précepteur                                                                                                                  | La Tuillerie (Jean-François Juvenon de La Tuillerie, dit)                                                            | comédie
 5338 |    5 | t                | Inconstant (L')                                                                                                                     | Collin d'Harleville (Jean-François)                                                                                  | comédie
 5018 |    3 | t                | Partie de chasse de Henri IV (La)                                                                                                   | Collé (Charles)                                                                                                      | comédie
 4922 |    5 | t                | Électre                                                                                                                             | Crébillon père (Prosper Jolyot de Crébillon dit)                                                                     | tragédie
 4986 |    1 | t                | Fête de village (La)                                                                                                                | Desfontaines (François-Georges)                                                                                      | intermède
 5693 |    5 | t                | Geôlier de soi-même ou Jodelet prince (Le)                                                                                          | Corneille (Thomas)                                                                                                   | comédie
 5773 |    1 | t                | Grisettes ou Crispin chevalier (Les)                                                                                                | Champmeslé (Charles Chevillet dit)                                                                                   | comédie
 5652 |    5 | t                | Vraie Didon ou la Didon chaste (La)                                                                                                 | Boisrobert (François Le Métel de)                                                                                    | tragédie
 5579 |    3 | t                | Oracle de Delphes (L')                                                                                                              | Moncrif (François-Augustin Paradis de)                                                                               | comédie
 5474 |    5 | t                | Antiochus ou Les Macchabées                                                                                                         | Nadal (Augustin, abbé)                                                                                               | tragédie
 5666 |    1 | t                | Camp de Porché-Fontaine (Le)                                                                                                        | Grandval (Nicolas Racot de)                                                                                          | comédie
 5123 |    1 | t                | Galant coureur ou l'Ouvrage d'un moment (Le)                                                                                        | Legrand (Marc-Antoine)                                                                                               | comédie
 5680 |    3 | t                | Divorce de l'amour et de la raison ou le Vieux monde (Le)                                                                           | Pellegrin (Simon-Joseph)                                                                                             | comédie
 5600 |    1 | t                | Fausse comtesse (La)                                                                                                                | Allainval (Léonor-Jean-Christine Soulas d')                                                                          | comédie
 5513 |    5 | t                | Don Ramire et Zaïde                                                                                                                 | La Chazette (de)                                                                                                     | tragédie
 5540 |    5 | t                | Amante amant (L')                                                                                                                   | Campistron (Jean Galbert de)                                                                                         | comédie
 5778 |    5 | t                | Mœurs du temps ou les Façons du temps (Les)                                                                                         | Saint-Yon                                                                                                            | comédie
 5766 |    1 | t                | Enlèvements (Les)                                                                                                                   | Baron (Michel Boyron dit)                                                                                            | comédie
 5470 |    1 | t                | Angélique et Médor                                                                                                                  | Dancourt (Florent Carton dit)                                                                                        | comédie
 5459 |    5 | t                | Agathocle                                                                                                                           | Aubry (Jean-Baptiste Aubry des Carrières, dit)                                                                       | tragédie
 5641 |    1 | t                | Répétition (La)                                                                                                                     | Baron (Michel Boyron dit)                                                                                            | comédie
 5707 |    1 | t                | Marié sans le savoir (Le)                                                                                                           | Fagan (Barthélemy-Christophe)                                                                                        | comédie
 5640 |    3 | t                | Rencontre imprévue (La)  ou la Surprise des amants (La)                                                                             | L'Affichard (Thomas)                                                                                                 | comédie
 5581 |    1 | t                | Baguette (La)                                                                                                                       | Dancourt (Florent Carton dit)                                                                                        | comédie
 5763 |    5 | t                | Dames vengées ou la Dupe de soi-même (Les)                                                                                          | Corneille (Thomas) ; Donneau de Vizé (Jean)                                                                          | comédie
 5637 |    5 | t                | Prude du temps (La) ou Saturnales (Les)                                                                                             | Palaprat (Jean de, sieur de Bigot)                                                                                   | comédie
 5046 |    1 | t                | Amour et les Fées (L')                                                                                                              | Bernis (François-Joachim de Pierres, cardinal de)                                                                    | comédie
 5253 |    1 | t                | Curieux de Compiègne (Les) ou Les Camps de Compiègne                                                                                | Dancourt (Florent Carton dit)                                                                                        | comédie
 3603 |    1 | f                | Méprises (Les)                                                                                                                      | Rousseau (Pierre de Toulouse)                                                                                        | comédie
 5614 |    1 | t                | Gazette de Hollande (La) ou Gazette (La)                                                                                            | Dancourt (Florent Carton dit)                                                                                        | comédie
 5722 |    1 | t                | Petit maître de campagne ou le Vicomte de Génicourt (Le)                                                                            | Anonyme                                                                                                              | comédie
 5383 |    5 | t                | Octave et le jeune Pompée ou le Triumvirat ou Les Triumvirs                                                                         | Voltaire (François-Marie Arouet dit)                                                                                 | tragédie
 5310 |    1 | t                | Valets maîtres de la maison ou le Tour de carnaval (Les)                                                                            | Rochon de Chabannes (Marc-Antoine-Jacques)                                                                           | comédie
 5066 |    4 | t                | Barbier de Séville ou la Précaution inutile (Le)                                                                                    | Beaumarchais (Pierre-Augustin Caron de)                                                                              | comédie
 4833 |    3 | t                | Abdolonime ou le Roi berger                                                                                                         | Collet de Messine (Jean-Baptiste)                                                                                    | comédie héroïque
 5404 |    2 | t                | Pyrame et Thisbé                                                                                                                    | Mauduit-Larive (Jean)                                                                                                | scène lyrique
 5518 |    5 | t                | Ériphile                                                                                                                            | Voltaire (François-Marie Arouet dit)                                                                                 | tragédie
 5499 |    5 | t                | Cléarque, tyran d'Héraclée                                                                                                          | Gomez (Madeleine-Angélique de)                                                                                       | tragédie
 5626 |    3 | t                | Dieux comédiens ou la Métempsycose des amours (Les)                                                                                 | Dancourt (Florent Carton dit)                                                                                        | comédie
 5354 |    1 | t                | Usurier gentilhomme (L')                                                                                                            | Legrand (Marc-Antoine)                                                                                               | comédie
 5587 |    3 | t                | Comédie des comédiens ou l'Amour charlatan (La)                                                                                     | Dancourt (Florent Carton dit)                                                                                        | comédie
 5736 |    2 | t                | Second chapitre du "Diable boiteux" (Le)                                                                                            | Dancourt (Florent Carton dit)                                                                                        | comédie
 5824 |    5 | t                | Polydore                                                                                                                            | Pellegrin (Simon-Joseph)                                                                                             | tragédie
 5551 |    3 | t                | École des jaloux ou le Cocu volontaire (L') / La Fausse Turquie (titre alt.) / La Turquie (titre alt.) / Le Grand Turc (titre alt.) | Montfleury (Antoine Jacob dit)                                                                                       | comédie
 5481 |    5 | t                | Artaxerce                                                                                                                           | Boyer (Claude, abbé)                                                                                                 | tragédie
 5592 |    1 | t                | Critique de la Fausse antipathie (La)                                                                                               | La Chaussée (Pierre-Claude Nivelle de La Chaussée, dit Pierre-Claude)                                                | comédie
 5452 |    5 | t                | Aben-Saïd, empereur des Mogols                                                                                                      | Leblanc (Jean-Bernard, abbé)                                                                                         | tragédie
 5706 |    1 | t                | Mariage fait par lettre de change (Le)                                                                                              | Poisson (Philippe)                                                                                                   | comédie
