db,expert,id,author,title,genre ,nombre d'actes,Prologue,Prose/vers,"Musique, danse, machines",Date de création,Created,Updated
,1,4844,Dubuisson (Pierre-Ulric),Albert et Émilie,tragédie,5,FALSE,vers,FALSE,30 AVRIL 1785,,
,1,4845,Le Blanc de Guillet (Antoine),Albert premier ou Adeline,comédie héroïque,3,FALSE,vers,FALSE,4 FEV 1775,,
,1,5462,La Grange-Chancel (François-Joseph de),Alceste,tragédie,5,FALSE,vers,FALSE,19 DEC 1703,,
1,,5462,La Grange-Chancel (Joseph de),Alceste,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5463,Boissy (Louis de),Alceste et Admète,tragédie,5,FALSE,vers,FALSE,25 JANV 1727,,
1,,5463,Boissy (Louis de),Alceste et Admète,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5464,Poisson (Philippe),Alcibiade,comédie,3,FALSE,vers,FALSE,23 FEV 1731,,
1,,5464,Poisson (Philippe),Alcibiade,comédie,3,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
1,,5465,Campistron (Jean-Galbert de),Alcibiade,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5465,Campistron (Jean Galbert de),Alcibiade ,tragédie,5,FALSE,vers,FALSE,28 DEC 1685,,
,1,4846,Lonvay de La Saussaye (Jean-Baptiste),Alcidonis ou la Journée lacédémonienne,comédie,3,FALSE,prose,TRUE,13 MARS 1773,,
,1,5466,Racine (Jean),Alexandre le Grand,tragédie,5,FALSE,vers,FALSE,,,
1,,5466,Racine (Jean),Alexandre le Grand,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,5038,Cahusac (Louis de),Algérien ou les Muses comédiennes (L'),comédie-ballet,3,TRUE,vers libres,TRUE,,,
,1,4847,Fallet (Nicolas),Alphée et Zarine,tragédie,5,FALSE,vers,FALSE,19 JUIN 1788,,
,1,4848,Linant (Nicolas-Michel),Alzaïde,tragédie,5,FALSE,vers,FALSE,13 DECEMBRE 1745,,
,1,4849,Voltaire (François-Marie Arouet dit),Alzire ou les Américains,tragédie,5,FALSE,vers,FALSE,27 JANV 1736,,
,1,5467,Quinault (Philippe),Amalasonte,tragédie,5,FALSE,vers,FALSE,voir celui de ximenes sur l'autre liste,,
1,,5467,Quinault (Philippe),Amalasonte,tragédie,5,FALSE,vers,FALSE,,2013-12-16 12:46:35 -0500,2013-12-16 12:46:35 -0500
,1,4850,Ximénès (Augustin-Louis de),Amalazonte,tragédie,5,FALSE,vers,FALSE,30 MAI 1754,,
,1,5039,Boutet de Monvel (Jacques-Marie) ,Amant Bourru (L'),comédie,3,FALSE,vers libres,FALSE,,,
,1,5537,Boissy (Louis de),Amant de sa femme ou la Rivale d'elle-même (L'),comédie,1,FALSE,prose,FALSE,19 SEPT 1721,,
,1,5040,La Morlière (jacques Rochette de),Amant déguisé (L'),comédie,2,FALSE,prose,FALSE,,,
,1,5538,Quinault (Philippe),Amant indiscret ou le Maître étourdi (L'),comédie,5,FALSE,vers,FALSE,,,
,1,5539,Du Fresny (Charles),Amant masqué (L'),comédie,1,FALSE,prose,TRUE,8 AOUT 1709,,
,1,5540,Campistron (Jean Galbert de),Amante amant (L'),comédie,5,FALSE,prose,FALSE,2 AOUT 1684,,
,1,5541,La Valette,Amante en tutelle (L'),comédie,3,TRUE,vers,FALSE,17 AOUT 1735,,
,1,5751,Aunillon (Pierre-Charles-Fabiot),Amants déguisés (Les),comédie,3,FALSE,prose,FALSE,7 FEV 1728,,
,1,5236,Beaugeard (Jean-Simon Férréol),Amants espagnols (Les),comédie ,5,FALSE,prose,FALSE,,,
,1,5237,Rochon de Chabannes (Marc-Antoine-Jacques),Amants généreux (Les),comédie,5,FALSE,prose,FALSE,13 OCTOBRE 1774,,
,1,5752,Molière (Jean-Baptiste Poquelin dit),Amants magnifiques (Les),comédie-ballet,5,TRUE,prose,TRUE,,,
,1,5089,Arnaud (François-Thomas-Marie de Baculard d'),Amants malheureux ou le Comte de Comminges (Les),drame ,3,FALSE,vers,FALSE,,,
,1,5753,Legrand (Marc-Antoine),Amants ridicules (Les) ou Les Triomphes du temps passé,comédie,1,FALSE,vers,FALSE,1 JUIL 1711,,
,1,5238,"Saint-Chamond (Claire-Marie Mazarelli, marquise de)",Amants sans le savoir (Les),comédie,3,FALSE,prose,FALSE,,,
,1,4851,La Grange-Chancel (François-Joseph de),Amasis,tragédie,5,FALSE,vers,FALSE,13 DEC 1701,,
,1,5041,Barthe (Nicolas-Thomas),Amateur (L'),comédie,1,FALSE,vers,FALSE,,,
,1,5239,Du Bocage (Anne-Marie),Amazones (Les),tragédie,5,FALSE,vers,FALSE,JUILLET ET AOÜT 1749,,
