id,title,author,genre ,Prologue,nombre d'actes,Prose/vers,"Musique, danse, machines",Date de création
4863,Apelle et Campaspe,Voiron,drame héroïque ,,1,vers,x,16 OCT 1786
4864,Aphos,Baragué,comédie,,1,vers libres,X,13 SEP 1747
5055,Apothéose de Beaurepaire (L'),Lesur (Charles-Louis),pièce ,,1,vers,,
5544,Après-souper des auberges (L'),Poisson (Raymond),comédie,,1 acte,vers,X,
4865,Ariane,Corneille (Thomas),tragédie,,5,vers,,
5476,Ariarathe,Saint-Gilles Lenfant (de),tragédie,,5 actes,vers,,30 OCT 1699
5477,Aristobule,"Abeille (Gaspard, abbé)",tragédie,,5 actes,vers,,30 NOV 1685
4866,Aristomène,Marmontel (Jean-François) ,tragédie,,5,vers,,30 AVRIL 1749
5478,Arminius,Campistron (Jean Galbert de),tragédie,,5 actes,vers,,19 FEV 1684
5479,Arrie et Pétus,Barbier (Marie-Anne),tragédie,,5 actes,vers,,3 JUIN1702
5242,Arsacides (Les),Peyraud de Beaussol ,tragédie,,6,vers,,26 JUILLET 1775
5480,Artaxare,Pellegrin (Simon-Joseph),tragédie,,5 actes,vers,,3 MAI 1718
4867,Artaxerce,Le Mierre (Antoine-Marin) ,tragédie,,5,vers,,20 AOUT 1766
5481,Artaxerce,"Boyer (Claude, abbé)",tragédie,,5 actes,vers,,22 NOV 1682
5482,Artaxerce,Deschamps (François-Michel-Chrétien),tragédie,,5 actes,vers,,19 DEC 1735
5483,Artémire,"Voltaire (François-Marie Arouet, dit)",tragédie,,5 actes,vers,,15 FEV 1720
5484,Aspar,Fontenelle (Bernard le Bouyier de),tragédie,,5 actes,vers,,27 DEC 1680
5545,Assemblée des comédiens (L'),Procope-Couteaux (Michel),prologue,x,1 acte,,,22 SEPT 1724
4868,Astarbé,Colardeau (Charles-Pierre),tragédie,,5,vers,,27 FEV 1758
4869,"Astrate, roi de Tyr",Quinault (Philippe),tragédie,,5,vers,,
4870,Astyanax,Châteaubrun (Jean-Baptiste Vivien de),tragédie,,5,vers,,5 JANV 1756
4871,Astyanax,Richerolle d'Avallon,tragédie,,5,vers,,7 FEV 1789
4872,Athalie,Racine (Jean),tragédie,,5,vers,,
5485,Athénaïs,La Grange-Chancel (François-Joseph de),tragédie,,5 actes,vers,,20 NOV 1699
4874,Atrée et Thyeste,Crébillon (Prosper Jolyot de),tragédie,,5,vers,,14 MARS 1707
4875,Attendez-moi sous l’orme,Du Fresny (Charles),comédie,,1,prose,X,19 MAI 1694
5486,"Attila, roi des Huns",Corneille (Pierre),tragédie,,5 actes,vers,,
4876,Augusta,Fabre d'Églantine (Philippe-François-Nazaire),tragédie,,5,vers,,8 OCT 1787
4877,Auguste et Théodore ou les Deux pages,Manteufel (Ernest de),comédie,,2,prose,,6 MARS 1789
5059,Avare (L'),Molière (Jean-Baptiste Poquelin dit) ,comédie,,5,prose,,
5060,Avare amoureux (L'),Aigueberre (Jean Dumas d'),comédie,,1,prose,,
5061,Avare cru bienfaisant (L'),Brousse-Desfaucherets (Jean-Louis),comédie,,5,vers,,
