Id,Author,Title,Genre,Created At,Updated At,Acts,Prose Vers,Prologue,Musique Danse Machine
5823,Le Grand (Marc-Antoine),Plutus,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,vers,false,false
5822,Campistron (Jean-Galbert de),Phocion,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5821,Cahusac (Louis de),Pharamond,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5820,Boursault (Edme),Phaéton,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5819,"Genest (Charles-Claude, abbé)",Pénélope,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5818,Pellegrin (Simon-Joseph),Pélopée,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5817,Montauban (Jacques Pousset sieur de),Panurge,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,,0,false,false
5816,Saint-Foix (Germain-François Poullain de),Pandore,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,vers,false,false
5815,Corneille (Pierre),Othon,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5814,La Grange-Chancel (Joseph de),Oreste et Pylade,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5813,"Boyer (Claude, abbé) ; Le Clerc Michel ",Oreste,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5812,Corneille (Pierre),Œdipe,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5811,La Motte (Antoine Houdar de),Œdipe,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5810,"La Tuillerie (Jean-François Juvenon, sieur de)",Nitocris,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5809,Danchet (Antoine),Nitétis,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5808,Guérin d'Etriché (Nicolas-Armand-Martial),Myrtil et Mélicerte,pastorale héroïque,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,3,vers,true,false
5807,Belin (François),Mustapha et Zéangir,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5806,Ferrier de la Martinière (Louis),Montézume,tragédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,5,vers,false,false
5805,"La Tuillerie (Jean-François Juvenon, sieur de)",Merlin peintre,comédie,2013-12-16 12:46:38 -0500,2013-12-16 12:46:38 -0500,1,prose,false,false
