id,author,title,genre,acts,prologue,prose_vers,musique_danse_machine,date_de_creation
5540,Campistron (Jean Galbert de),Amante amant (L'),comédie,5,FALSE,prose,FALSE,2 AOUT 1684
5541,La Valette,Amante en tutelle (L'),comédie,3,TRUE,vers,FALSE,17 AOUT 1735
5751,Aunillon (Pierre-Charles-Fabiot),Amants déguisés (Les),comédie,3,FALSE,prose,FALSE,7 FEV 1728
5236,Beaugeard (Jean-Simon Férréol),Amants espagnols (Les),comédie,5,FALSE,prose,FALSE,
5237,Rochon de Chabannes (Marc-Antoine-Jacques),Amants généreux (Les),comédie,5,FALSE,prose,FALSE,13 OCTOBRE 1774
5752,Molière (Jean-Baptiste Poquelin dit),Amants magnifiques (Les),comédie-ballet,5,TRUE,prose,TRUE,
5089,Arnaud (François-Thomas-Marie de Baculard d'),Amants malheureux ou le Comte de Comminges (Les),drame,3,FALSE,vers,FALSE,
5753,Legrand (Marc-Antoine),Amants ridicules (Les) ou Les Triomphes du temps passé,comédie,1,FALSE,vers,FALSE,1 JUIL 1711
5238,"Saint-Chamond (Claire-Marie Mazarelli, marquise de)",Amants sans le savoir (Les),comédie,3,FALSE,prose,FALSE,
4851,La Grange-Chancel (François-Joseph de),Amasis,tragédie,5,FALSE,vers,FALSE,12/13/1701
5041,Barthe (Nicolas-Thomas),Amateur (L'),comédie,1,FALSE,vers,FALSE,
5239,Du Bocage (Anne-Marie),Amazones (Les),tragédie,5,FALSE,vers,FALSE,JUILLET ET AOÜT 1749
5240,Legrand (Marc-Antoine) ; Fuzelier (Louis),Amazones modernes (Les),comédie,3,FALSE,prose,TRUE,9/22/1904
5042,Destouches,Ambitieux et l'indiscrète (L'),tragi-comédie,5,TRUE,vers,FALSE,
4852,Voltaire (François-Marie Arouet dit),Amélie ou le Duc de Foix ou Le Duc de Foix,tragédie,5,FALSE,vers,FALSE,17 AOUT 1752
4853,Ducis (Jean-François),Amélise,tragédie,5,FALSE,vers,FALSE,9 JANV 1768
4854,Saurin (Bernard-Joseph),Aménophis,tragédie,5,FALSE,vers,FALSE,11/12/1750
4855,Mauger,Amestris,tragédie,5,FALSE,vers,FALSE,3 JUIL 1747
