mapping_id,real_id
1,4832
2,4833
3,4834
4,4835
5,4836
6,4837
7,4838
8,4839
9,4840
10,4841
11,4842
12,4843
13,4844
14,4845
15,4846
16,4847
17,4848
18,4849
19,4850
20,4851
21,4852
22,4853
23,4854
24,4855
25,4856
26,4857
27,4858
28,4859
29,4860
30,4861
31,4862
32,4863
33,4864
34,4865
35,4866
36,4867
37,4868
38,4869
39,4870
40,4871
41,4872
42,4873
43,4874
44,4875
45,4876
46,4877
47,4878
48,4879
49,4880
50,4881
51,4882
52,4883
53,4884
54,4885
55,4886
56,4887
57,4888
58,4889
59,4890
60,4891
61,4892
62,4893
63,4894
64,4895
65,4896
66,4897
67,4898
68,4899
69,4900
70,4901
71,4902
72,4903
73,4904
74,4905
75,4906
76,4907
77,4908
78,4909
79,4910
80,4911
81,4912
82,4913
83,4914
84,4915
85,4916
86,4917
87,4918
88,4919
89,4920
90,4921
91,4922
92,4923
93,4924
94,4925
95,4926
96,4927
97,4928
98,4929
99,4930
100,4931
101,4932
102,4933
103,4934
104,4935
105,4936
106,4937
107,4938
108,4939
109,4940
110,4941
111,4942
112,4943
113,4944
114,4945
115,4946
116,4947
117,4948
118,4949
119,4950
120,4951
121,4952
122,4953
123,4954
124,4955
125,4956
126,4957
127,4958
128,4959
129,4960
130,4961
131,4962
132,4963
133,4964
134,4965
135,4966
136,4967
137,4968
138,4969
139,4970
140,4971
141,4972
142,4973
143,4974
144,4975
145,4976
146,4977
147,4978
148,4979
149,4980
150,4981
151,4982
152,4983
153,4984
154,4985
155,4986
156,4987
157,4988
158,4989
159,4990
160,4991
161,4992
162,4993
163,4994
164,4995
165,4996
166,4997
167,4998
168,4999
169,5000
170,5001
171,5002
172,5003
173,5004
174,5005
175,5006
176,5007
177,5008
178,5009
179,5010
180,5011
181,5012
182,5013
183,5014
184,5015
185,5016
186,5017
187,5018
188,5019
189,5020
190,5021
191,5022
192,5023
193,5024
194,5025
195,5026
196,5027
197,5028
198,5029
199,5030
200,5031
201,5032
202,5033
203,5034
204,5035
205,5036
206,5037
207,5038
208,5039
209,5040
210,5041
211,5042
212,5043
213,5044
214,5045
215,5046
216,5047
217,5048
218,5049
219,5050
220,5051
221,5052
222,5053
223,5054
224,5055
225,5056
226,5057
227,5058
228,5059
229,5060
230,5061
231,5062
232,5063
233,5064
234,5065
235,5066
236,5067
237,5068
238,5069
239,5070
240,5071
241,5072
242,5073
243,5074
244,5075
245,5076
246,5077
247,5078
248,5079
249,5080
250,5081
251,5082
252,5083
253,5084
254,5085
255,5086
256,5087
257,5088
258,5089
259,5090
260,5091
261,5092
262,5093
263,5094
264,5095
265,5096
266,5097
267,5098
268,5099
269,5100
270,5101
271,5102
272,5103
273,5104
274,5105
275,5106
276,5107
277,5108
278,5109
279,5110
280,5111
281,5112
282,5113
283,5114
284,5115
285,5116
286,5117
287,5118
288,5119
289,5120
290,5121
291,5122
292,5123
293,5124
294,5125
295,5126
296,5127
297,5128
298,5129
299,5130
300,5131
301,5132
302,5133
303,5134
304,5135
305,5136
306,5137
307,5138
308,5139
309,5140
310,5141
311,5142
312,5143
313,5144
314,5145
315,5146
316,5147
317,5148
318,5149
319,5150
320,5151
321,5152
322,5153
323,5154
324,5155
325,5156
326,5157
327,5158
328,5159
329,5160
330,5161
331,5162
332,5163
333,5164
334,5165
335,5166
336,5167
337,5168
338,5169
339,5170
340,5171
341,5172
342,5173
343,5174
344,5175
345,5176
346,5177
347,5178
348,5179
349,5180
350,5181
351,5182
352,5183
353,5184
354,5185
355,5186
356,5187
357,5188
358,5189
359,5190
360,5191
361,5192
362,5193
363,5194
364,5195
365,5196
366,5197
367,5198
368,5199
369,5200
370,5201
371,5202
372,5203
373,5204
374,5205
375,5206
376,5207
377,5208
378,5209
379,5210
380,5211
381,5212
382,5213
383,5214
384,5215
385,5216
386,5217
387,5218
388,5219
389,5220
390,5221
391,5222
392,5223
393,5224
394,5225
395,5226
396,5227
397,5228
398,5229
399,5230
400,5231
401,5232
402,5233
403,5234
404,5235
405,5236
406,5237
407,5238
408,5239
409,5240
410,5241
411,5242
412,5243
413,5244
414,5245
415,5246
416,5247
417,5248
418,5249
419,5250
420,5251
421,5252
422,5253
423,5254
424,5255
425,5256
426,5257
427,5258
428,5259
429,5260
430,5261
431,5262
432,5263
433,5264
434,5265
435,5266
436,5267
437,5268
438,5269
439,5270
440,5271
441,5272
442,5273
443,5274
444,5275
445,5276
446,5277
447,5278
448,5279
449,5280
450,5281
451,5282
452,5283
453,5284
454,5285
455,5286
456,5287
457,5288
458,5289
459,5290
460,5291
461,5292
462,5293
463,5294
464,5295
465,5296
466,5297
467,5298
468,5299
469,5300
470,5301
471,5302
472,5303
473,5304
474,5305
475,5306
476,5307
477,5308
478,5309
479,5310
480,5311
481,5312
482,5313
483,5314
484,5315
485,5316
486,5317
487,5318
488,5319
489,5320
490,5321
491,5322
492,5323
493,5324
494,5325
495,5326
496,5327
497,5328
498,5329
499,5330
500,5331
501,5332
502,5333
503,5334
504,5335
505,5336
506,5337
507,5338
508,5339
509,5340
510,5341
511,5342
512,5343
513,5344
514,5345
515,5346
516,5347
517,5348
518,5349
519,5350
520,5351
521,5352
522,5353
523,5354
524,5355
525,5356
526,5357
527,5358
528,5359
529,5360
530,5361
531,5362
532,5363
533,5364
534,5365
535,5366
536,5367
537,5368
538,5369
539,5370
540,5371
541,5372
542,5373
543,5374
544,5375
545,5376
546,5377
547,5378
548,5379
549,5380
550,5381
551,5382
552,5383
553,5384
554,5385
555,5386
556,5387
557,5388
558,5389
559,5390
560,5391
561,5392
562,5393
563,5394
564,5395
565,5396
566,5397
567,5398
568,5399
569,5400
570,5401
571,5402
572,5403
573,5404
574,5405
575,5406
576,5407
577,5408
578,5409
579,5410
580,5411
581,5412
582,5413
583,5414
584,5415
585,5416
586,5417
587,5418
588,5419
589,5420
590,5421
591,5422
592,5423
593,5424
594,5425
595,5426
596,5427
597,5428
598,5429
599,5430
600,5431
601,5432
602,5433
603,5434
604,5435
605,5436
606,5437
607,5438
608,5439
609,5440
610,5441
611,5442
612,5443
613,5444
614,5445
615,5446
616,5447
617,5448
618,5449
619,5450
