title,author,genre,prologue,acts,prose_vers,musique_danse_machine
Hérode,Nadal (abbé Augustin),tragédie,0,5,vers,0
Héroïne,Anonyme,comédie,0,1,0,0
Idoménée,Crébillon père (Prosper Jolyot de Crébillon dit),tragédie,0,5,vers,0
Je vous prends sans verd,"La Fontaine (Jean de) ; Champmeslé (Charles Chevillet dit)",comédie,0,1,vers,0
Joconde,Fagan (Christophe-Barthélémy Fagan de Lugny dit),comédie,0,1,prose,0
Jonathas,Duché de Vancy (Joseph-François),tragédie,0,3,vers,0
Joseph,Genest (Charles-Claude abbé),tragédie,0,5,vers,0
Judith,"Boyer (Claude, abbé) ",tragédie,0,5,vers,0
Jugurtha,Palaprat (Jean),tragédie,0,5,vers,0
L'Accommodement imprévu,La Grange (Nicolas de),comédie,0,1,vers,0
L'Amant de sa femme ou la Rivale d'elle-même,Boissy (Louis de),comédie,0,1,prose,0
L'Amant indiscret ou le Maître étourdi,Quinault (Philippe),comédie,0,5,vers,0
L'Amant masqué,Dufresny (Charles Rivière),comédie,0,1,prose,0
L'Amante amant,Campistron (Jean-Galbert de),comédie,0,5,prose,0
L'Amante en tutelle,La Valette,comédie,1,3,vers,0
L'Amitié rivale de l'amour,Fagan (Christophe Barthélémy Fagan de Lugny dit),comédie,0,5,vers,0
L'Amour vengé,La Font (Joseph de),comédie,0,1,vers,0
L'Après-souper des auberges,Poisson (Raymond),comédie,0,1,vers,0
L'Assemblée des comédiens,Procope-Couteaux (Michel),prologue,1,1,0,0
L'Aventurière,De Visé (Jean Donneau),comédie,0,5,vers,0
L'Avocat sans étude,"Rosimond (Claude La Roze, sieur de) ",comédie,0,1,vers,0
L'Éclipse,Dancourt (Florent Carton dit),comédie,0,1,prose,0
L'École de l'hymen,Pellegrin (Simon-Joseph),comédie,1,3,prose / vers,0
L'École des amants,Jolly (François-Antoine),comédie,0,3,vers,0
L'École des jaloux ou le Cocu volontaire,Montfleury (Antoine Jacob),comédie,0,3,vers,0
L'École du monde,Voisenon (Claude-Henri de Fusée de),comédie,0,1,vers,0
L'Ecolier de Salamanque ou les Généreux ennemis,Scarron (Paul),"tragi-comédie",0,5,vers,0
L'Effet de la prévention,Anonyme,comédie,0,1,prose,0
L'Enfant gâté,Anonyme,comédie,0,1,prose,0
L'Entêté,Anonyme,comédie,0,1,prose,0
L'Entêtement ridicule,Anonyme,comédie,0,1,vers,0
L'Envieux ou la Critique du Philosophe marié,Destouches (Philippe Néricault dit),comédie,0,1,prose,0
L'Épreuve dangereuse,Anonyme,comédie,0,5,vers,0
L'Été des coquettes,Dancourt (Florent Carton dit),comédie,0,1,prose,0
L'Héritier ridicule ou la Dame intéressée,Scarron (Paul),comédie,0,5,vers,0
L'Heure du berger,Boizard de Ponteau (Claude Florimond) ; Panard (Charles-François),comédie,0,1,prose,0
L'Heureux échange,Anonyme,comédie,0,5,vers,0
L'Homme à bonnes fortunes ,Baron (Michel Boyron dit),comédie,0,5,prose,0
L'Île de la raison ou les Petits hommes,Marivaux (Pierre Carlet de Chamblain de),comédie,1,3,prose,0
L'Impatient,Boissy (Louis de),comédie,1,5,vers,0
L'Impertinent malgré lui ou les Amants mal assortis,Boissy (Louis de),comédie,0,5,vers,0
L'Impromptu de la Folie,Le Grand (Marc-Antoine),ambigu-comique,1,2,prose,0
L'Impromptu de Suresnes,Dancourt (Florent Carton dit),comédie-ballet,1,1,prose,0
L'Improptu de garnison,Anonyme,comédie,0,1,prose,0
L'Inconnu,Corneille (Thomas),comédie,x,5,vers,1
L'Italie galante,La Motte (Antoine Houdar de),ambigu-comique,1,3,prose,0
L'Ombre de Molière,Voisenon (Claude-Henri de Fusée de),prologue,0,1,vers,0
L'Ombre de Molière,"Brécourt (Guillaume Marcoureau, sieur de) ",comédie,0,1,prose,0
L'Opéra de village,Dancourt (Florent Carton dit),comédie,0,1,prose,0
L'Opérateur,Anonyme,comédie,0,1,0,0
L'Opérateur Barry,Dancourt (Florent Carton dit),comédie,1,1,prose,0
L'Opiniâtre,Brueys (David-Augustin de),comédie,0,3,vers,0
L'Oracle de Delphes,Moncrif (François-Augustin Paradis de),comédie,0,3,vers,0
L'Usurier,Corneille (Thomas) ; De Visé (Jean Donneau),comédie,0,5,vers,0
La Baguette,Dancourt (Florent Carton dit),comédie,0,1,prose,0
La Belle-mère,Dancourt (Florent Carton dit),comédie,0,5,vers,0
La Boîte de Pandore,Poisson (Philippe),comédie,0,1,prose,0
La Cassette,"Brécourt (Guillaume Marcoureau, sieur de) ",comédie,0,5,vers,0
La Chasse du cerf,Le Grand (Marc-Antoine),comédie-ballet,1,3,prose,0
La Chasse ridicule,Anonyme,comédie,0,1,prose,0
La Comédie des comédiens ou l'Amour charlatan,Dancourt (Florent Carton dit),comédie,0,3,prose,0
La Comète,Fontenelle (Bernard le Bouvier de),comédie,0,1,prose,1
La Comtesse d'Orgueil,Corneille (Thomas),comédie,0,5,vers,0
La Comtesse de Follenville,Carcavi (Charles-Alexandre abbé),comédie,0,1,prose,0
La critique de l'École des femmes,Molière (Jean-Baptiste Poquelin dit),comédie,0,1,prose,0
La Critique de la Fausse antipathie,La Chaussée (Pierre Claude Nivelle de),comédie,0,1,prose / vers,0
La Critique du Légataire universel,Regnard (Jean-François),comédie,0,1,prose,0
La Dame à la mode ou la Suite de la coquette,Dancourt (Florent Carton dit),comédie,0,5,vers,0
La Désolation des joueuses,Dancourt (Florent Carton dit),comédie,0,1,prose,0
La Devineresse ou les Faux enchantements,Corneille (Thomas),comédie,0,5,prose,1
La Dragonne ou Merlin dragon,Desmarres,comédie,0,1,prose,0
La Dupe amoureuse,"Rosimond (Claude La Roze, sieur de) ",comédie,0,1,vers,0
La Famille à la mode ou Finette,Dancourt (Florent Carton dit),comédie,0,5,vers,0
La Fausse comtesse,Allainval (Léonor-Jean-Christine Soulas abbé d'),comédie,0,1,prose,0
La Fausse inconstance,Pellegrin (Simon-Joseph),comédie,0,3,vers,0
La Fausse veuve ou le Jaloux sans jalousie,Destouches (Philippe Néricault dit),comédie,0,1,prose,0
La Femme d'intrigues,Dancourt (Florent Carton dit),comédie,0,5,prose,0
La Femme fille et veuve,Le Grand (Marc-Antoine),comédie,0,1,vers,0
La femme têtue ou le médecin hollandais,Barquebois (J. Robbe),comédie,0,1,vers,0
La Fille médecin,Anonyme,comédie,0,1,0,0
La Fille supposée ou l'Héroïne de roman,La Grange-Chancel (Joseph de),comédie,0,3,vers,0
La Fille valet,Abeille neveu (Nicolas Abeille dit),comédie,0,3,vers,0
La Foire de Besons,Dancourt (Florent Carton dit),comédie,0,1,prose,0
La Foire Saint-Germain,Dancourt (Florent Carton dit),comédie,0,1,prose,0
La Folle enchère,Dancourt (Florent Carton dit),comédie,0,1,prose,0
La Fourbe,Lenoble (Eustache),comédie,0,5,prose,0
La Française italienne,Le Grand (Marc-Antoine),comédie,0,1,prose,0
La Gazette de Hollande,Dancourt (Florent Carton dit),comédie,0,1,prose,0
La Grondeuse,Fagan (Christophe Barthélémy Fagan de Lugny dit),comédie,0,1,prose,0
La Guinguette de la finance,Dancourt (Florent Carton dit),comédie,0,1,prose,0
La Jalouse d'elle-même,Boisrobert (François Le Metel sieur de),comédie,0,5,vers,0
La Joueuse,Dufresny (Charles Rivière),comédie,0,5,prose,0
La Loterie,Dancourt (Florent Carton dit),comédie,0,1,prose,0
La Malade sans maladie,Dufresny (Charles Rivière),comédie,0,5,prose,0
La Marianne,Hermite (Tristan l'),tragédie,0,5,vers,0
La Marquise imaginaire,Anonyme,comédie,0,1,0,0
La Matrone d'Éphèse,La Motte (Antoine Houdar de),comédie,0,1,prose,0
La Méprise,Audierne (Jacques),comédie,1,1,prose,0
La Mère ridicule,Montfort (Mr),comédie,0,1,0,0
La Métempsycose des amours ou les Dieux comédiens,Dancourt (Florent Carton dit),comédie,1,3,vers,0
La mort d'Alexandre,Louvart,tragédie,0,5,vers,0
La Mort d'Othon,Belin (François),tragédie,0,5,vers,0
La Mort d'Ulysse,Pellegrin (Simon-Joseph),tragédie,0,5,vers,0
La Mort de César,"Barbier (Marie Anne, Mlle)",tragédie,0,5,vers,0
La Mort de Néron,Péchantré (Nicolas de),tragédie,0,5,vers,0
La Mortd'Alcide,Dancourt (Florent Carton dit),tragédie,0,5,vers,0
La Noce de village,"Brécourt (Guillaume Marcoureau, sieur de) ",comédie,0,1,prose,1
La Noce interrompue,Dufresny (Charles Rivière),comédie,0,1,prose,0
La Pierre Philosophale,Corneille (Thomas),comédie,0,5,0,1
La Provençale,Anonyme,comédie,0,1,0,0
La Prude du temps ou les Saturnales,Palaprat (Jean),comédie,0,5,vers,0
La Psyché de village,Guérin d'Étriché (Eustache François),comédie,1,4,prose,0
La Rapinière ou l'Intéressée,Barquebois (J. Robbe),comédie,0,5,vers,0
La Rencontre imprévue,Laffichard (Thomas l'Affichard dit),comédie,0,3,prose,0
La Répétition,Baron (Michel Boyron dit),comédie,0,1,0,0
La Ressource et le Caprice,Le Mascrier (abbé Jean-Baptiste),prologue,0,1,vers,0
La Réunion des amours,Marivaux (Pierre Carlet de Chamblain de),comédie héroïque,0,1,prose,0
La Rue Saint-Denis,Champmeslé (Charles Chevillet dit),comédie,0,1,prose,0
La Suivante désintéressée,Audierne (Jacques),comédie,1,1,prose,0
La Thébaïde ou les Frères ennemis,Racine (Jean),tragédie,0,5,vers,0
