title,author,genre,prologue,acts,prose_vers,musique_danse_machine
Myrtil et Mélicerte,Guérin d'Etriché (Nicolas-Armand-Martial),"pastorale héroïque",1,3,vers,0
Nitétis,Danchet (Antoine),tragédie,0,5,vers,0
Nitocris,"La Tuillerie (Jean-François Juvenon, sieur de)",tragédie,0,5,vers,0
Œdipe,La Motte (Antoine Houdar de),tragédie,0,5,vers,0
Œdipe,Corneille (Pierre),tragédie,0,5,vers,0
Oreste,"Boyer (Claude, abbé) ; Le Clerc Michel ",tragédie,0,5,vers,0
Oreste et Pylade,La Grange-Chancel (Joseph de),tragédie,0,5,vers,0
Othon,Corneille (Pierre),tragédie,0,5,vers,0
Pandore,Saint-Foix (Germain-François Poullain de),comédie,0,1,vers,0
Panurge,Montauban (Jacques Pousset sieur de),comédie,0,,0,0
Pélopée,Pellegrin (Simon-Joseph),tragédie,0,5,vers,0
Pénélope,"Genest (Charles-Claude, abbé)",tragédie,0,5,vers,0
Phaéton,Boursault (Edme),comédie,0,5,vers,0
Pharamond,Cahusac (Louis de),tragédie,0,5,vers,0
Phocion,Campistron (Jean-Galbert de),tragédie,0,5,vers,0
Plutus,Le Grand (Marc-Antoine),comédie,0,3,vers,0
Polydore,Pellegrin (Simon-Joseph),tragédie,0,5,vers,0
Polymneste,"Genest (Charles-Claude, abbé)",tragédie,0,5,vers,0
Polyxène,La Fosse (Antoine de La Fosse d'Aubigny dit),tragédie,0,5,vers,0
Psyché,"Molière (Jean-Baptiste Poquelin dit) ; Quinault (Philippe) ; Corneille (Pierre)",tragédie,0,5,vers,0
Pyrame et Thisbé,Pradon (Jacques),comédie,0,5,vers,0
Ragotin,La Fontaine (Jean de),comédie,0,5,vers,0
Régulus,Pradon (Jacques),tragédie,0,5,vers,0
Renaud et Armide,Dancourt (Florent Carton dit),comédie,0,1,prose,0
Romulus,La Motte (Antoine Houdar de),tragédie,0,5,vers,0
Sabinus et Éponine,Richer (Henri),tragédie,0,5,vers,0
Sancho Pança,Dufresny (Charles Rivière),comédie,0,3,prose,0
Sancho Pança gouverneur,Dancourt (Florent Carton dit),comédie,0,5,vers,0
Saül,Nadal (abbé Augustin),tragédie,0,5,vers,0
Scévole,Du Ryer (Pierre),tragédie,0,5,vers,0
Scipion l'Africain,Pradon (Jacques),tragédie,0,5,vers,0
Sémiramis,"Gomez (Madeleine-Angélique, Mme de)",tragédie,0,5,vers,0
Sémiramis,Crébillon père (Prosper Jolyot de Crébillon dit),tragédie,0,5,vers,0
Sésostris,Longepierre (Hilaire-Bernard de),tragédie,0,5,vers,0
Soliman,"La Tuillerie (Jean-François Juvenon, sieur de)",tragédie,0,5,vers,0
Sophonisbe,La Grange-Chancel (Joseph de),tragédie,0,5,vers,0
Stilicon,Corneille (Thomas),tragédie,0,5,vers,0
"Suréna, général des Parthes",Corneille (Pierre),tragédie,0,5,vers,0
Tarquin,Pradon (Jacques),tragédie,0,5,vers,0
Téglis,Morand (Pierre de),tragédie,0,5,vers,0
Téléphonte,La Chapelle (Jean de),tragédie,0,5,vers,0
Thélamire,"Lebrun (Denise, Mlle)",tragédie,0,5,vers,0
Thésée,La Fosse (Antoine de La Fosse d'Aubigny dit),tragédie,0,5,vers,0
Thomyris,"Barbier (Marie Anne, Mlle )",tragédie,0,5,vers,0
Tibère,Pellegrin (Simon-Joseph) ; Dupuis (Président),tragédie,0,5,vers,0
Timon,"Brécourt (Guillaume Marcoureau, sieur de)",comédie,0,1,vers,0
Tontine,Lesage (Alain-René),comédie,0,1,prose,0
Tridate,Campistron (Jean-Galbert de),tragédie,0,5,vers,0
Valérien,Riupeirous (Théodore),tragédie,0,5,vers,0
Varron,Dupuy (Antoine de Léris),comédie,0,5,vers,0
Virginie,Campistron (Jean-Galbert de),tragédie,0,5,vers,0
Vononez roi des Parthes,Belin (François),tragédie,0,5,vers,0
Xerxès,Crébillon père (Prosper Jolyot de Crébillon dit),tragédie,0,5,vers,0
Zaïde,La Chapelle (Jean de),tragédie,0,5,vers,0
"Zélonide, princesse de Sparte ","Genest (Charles-Claude, abbé)",tragédie,0,5,vers,0
Zénobie,Anonyme,tragédie,0,5,vers,0
