File Name,Record ID,extra1,extra2
M119_02_R142_0000r.jpg,,,
M119_02_R142_000n.jpg,,,
M119_02_R142_001n.jpg,,,
M119_02_R142_002n.jpg,,,
M119_02_R142_003r.jpg,,,
M119_02_R142_004v.jpg,,,
M119_02_R142_005r.jpg,1637,,
M119_02_R142_006v.jpg,1637,,
M119_02_R142_007r.jpg,1638,,
M119_02_R142_008v.jpg,1638,,
M119_02_R142_009r.jpg,1642,,
M119_02_R142_010v.jpg,1642,,
M119_02_R142_011r.jpg,1644,,
M119_02_R142_012v.jpg,1644,,
M119_02_R142_013r.jpg,1645,,
M119_02_R142_014v.jpg,1645,,
M119_02_R142_015r.jpg,1646,,
M119_02_R142_016v.jpg,1646,,
M119_02_R142_017r.jpg,1641,,
M119_02_R142_018v.jpg,1641,,
M119_02_R142_019r.jpg,1648,,
M119_02_R142_020v.jpg,1648,,
M119_02_R142_021r.jpg,1660,,
M119_02_R142_022v.jpg,1660,,
M119_02_R142_023r.jpg,1649,,
M119_02_R142_024v.jpg,1649,,
M119_02_R142_025r.jpg,1650,,
M119_02_R142_026v.jpg,1650,,
M119_02_R142_027r.jpg,1651,,
M119_02_R142_028v.jpg,1651,,
M119_02_R142_029r.jpg,1652,,
M119_02_R142_030v.jpg,1652,,
M119_02_R142_031r.jpg,1653,,
M119_02_R142_032v.jpg,1653,,
M119_02_R142_033r.jpg,1640,,
M119_02_R142_034v.jpg,1640,,
M119_02_R142_035r.jpg,1670,,
M119_02_R142_036v.jpg,1670,,
M119_02_R142_037r.jpg,1665,,
M119_02_R142_038v.jpg,1665,,
M119_02_R142_039r.jpg,1639,,
M119_02_R142_040v.jpg,1639,,
M119_02_R142_041r.jpg,1666,,
M119_02_R142_042v.jpg,1666,,
M119_02_R142_043r.jpg,1667,,
M119_02_R142_044v.jpg,1667,,
M119_02_R142_045r.jpg,1668,,
M119_02_R142_046v.jpg,1668,,
M119_02_R142_047r.jpg,post it note?,1669,
M119_02_R142_048v.jpg,post it note?,1669,
M119_02_R142_049r.jpg,29,1669,
M119_02_R142_050v.jpg,29,1669,
M119_02_R142_051r.jpg,1671,,
M119_02_R142_052v.jpg,1671,,
M119_02_R142_053r.jpg,1664,,
M119_02_R142_054v.jpg,1664,,
M119_02_R142_055r.jpg,1673,,
M119_02_R142_056v.jpg,1673,,
M119_02_R142_057r.jpg,1672,,
M119_02_R142_058v.jpg,1672,,
M119_02_R142_059r.jpg,1674,,
