 14365 | 1770-05-15
 14366 | 1770-05-16
 14367 | 1770-05-20
 14368 | 1770-05-23
 14369 | 1770-05-25
 14370 | 1770-05-27
 14371 | 1770-05-28
 14372 | 1770-05-30
 14373 | 1770-06-02
 14374 | 1770-06-04
 14375 | 1770-06-07
 14376 | 1770-06-08
 14377 | 1772-04-28
 14378 | 1772-04-29
 14379 | 1772-04-30
 14380 | 1772-05-03
 14381 | 1772-05-06
 14382 | 1772-05-07
 14383 | 1772-05-09
 14384 | 1772-05-12
 14385 | 1772-05-14
 14386 | 1772-05-16
 14387 | 1772-05-18
 14388 | 1772-05-21
 14389 | 1772-05-23
 14390 | 1772-05-25
 14391 | 1772-05-29
 14392 | 1772-05-31
 14393 | 1772-06-03
 14394 | 1772-06-05
 14395 | 1772-06-09
 14396 | 1772-06-11
 14397 | 1772-06-13
 14398 | 1772-06-15
 14399 | 1772-06-17
 14400 | 1772-06-21
 14401 | 1772-06-24
 14402 | 1772-06-26
 14403 | 1772-06-28
 14404 | 1772-07-03
 14405 | 1772-07-05
 14406 | 1772-07-08
 14407 | 1772-07-11
 14408 | 1772-07-13
 14409 | 1772-07-16
 14410 | 1772-07-18
 14411 | 1772-07-20
 14412 | 1772-07-23
 14413 | 1772-07-25
 14414 | 1772-07-29
 14415 | 1772-07-31
 14416 | 1772-08-02
 14417 | 1772-08-06
 14418 | 1772-08-08
 14419 | 1772-08-10
 14420 | 1772-08-13
 14421 | 1772-08-16
 14422 | 1772-01-19
 14423 | 1772-08-21
 14424 | 1772-08-24
 14425 | 1772-08-26
 14426 | 1772-08-28
 14427 | 1772-08-30
 14428 | 1782-05-21
 14429 | 1772-07-06
 14430 | 1770-05-12
 14431 | 1770-05-13
 14432 | 1770-05-14
 14433 | 1770-05-17
 14434 | 1770-05-18
 14435 | 1770-05-19
 14436 | 1770-05-21
 14437 | 1770-05-22
 14438 | 1770-05-26
 14439 | 1770-05-29
 14440 | 1770-05-31
 14441 | 1772-04-02
 14442 | 1772-04-01
 14443 | 1772-04-04
 14444 | 1772-04-27
 14445 | 1772-05-01
 14446 | 1772-05-02
 14447 | 1772-05-04
 14448 | 1772-05-05
 14449 | 1772-05-08
 14450 | 1772-05-10
 14451 | 1772-05-11
 14452 | 1772-05-13
 14453 | 1772-05-15
 14454 | 1772-05-17
 14455 | 1772-05-20
 14456 | 1772-05-22
 14457 | 1772-05-24
 14458 | 1772-05-26
 14459 | 1772-05-27
 14460 | 1772-01-01
 14461 | 1772-06-01
 14462 | 1772-06-04
 14463 | 1772-06-06
 14464 | 1772-06-08
 14465 | 1772-06-10
 14466 | 1772-06-12
 14467 | 1772-06-14
 14468 | 1772-06-16
 14469 | 1772-06-19
 14470 | 1772-06-20
 14471 | 1772-06-22
 14472 | 1772-06-25
 14473 | 1772-06-27
 14474 | 1772-06-29
 14475 | 1772-07-01
 14476 | 1772-07-02
 14477 | 1772-07-04
 14478 | 1772-07-09
 14479 | 1772-07-10
 14480 | 1772-07-12
 14481 | 1772-07-15
 14482 | 1772-07-17
 14483 | 1772-07-19
 14484 | 1772-07-22
 14485 | 1772-07-24
 14486 | 1772-07-26
 14487 | 1772-07-27
 14488 | 1772-07-30
 14489 | 1772-08-01
 14490 | 1772-08-03
 14491 | 1772-08-05
 14492 | 1772-08-07
 14493 | 1772-08-09
 14494 | 1772-08-12
 14495 | 1772-08-14
 14496 | 1770-06-01
 14497 | 1770-06-05
 14498 | 1770-06-06
 14499 | 1770-06-09
 14500 | 1772-08-17
 14501 | 1772-08-20
 14502 | 1772-08-22
 14503 | 1772-08-23
 14504 | 1772-08-25
 14505 | 1772-08-27
 14506 | 1772-08-29
 14507 | 1772-08-31
 14508 | 1772-09-02
