ext_id|etype|birth_death_years|mainrole|mainform|firstname|firstname1|formcompl|lastname|firstname2|computedform|url
8138|Personne|1793-1864|Comédien|SAINT-AULAIRE|Pierre-Jacques|Pierre-Jacques|Porlier-Pagnon, dit|SAINT-AULAIRE|Pierre-Jacques|pierre-jacques saint-aulaire|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008138&ref=BIB00036570&p=1
8139|Personne|1798-1855|Comédien|BROCARD|Suzanne|Suzanne||BROCARD||suzanne brocard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008139&ref=BIB00036570&p=1
8140|Personne|1794-1844|Comédien|DEVIN|Armantine-Emilie|Armantine-Emilie|Mme Menjaud|DEVIN||armantine-emilie devin|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008140&ref=BIB00036570&p=1
8141|Personne|1794-1866|Comédien|DAVID|Edouard Narcisse|Edouard Narcisse||DAVID||edouard narcisse david|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008141&ref=BIB00036570&p=1
8142|Personne|1778-1864|Comédien|HERVEY|Marie-Anne-Renée-Adèle|Marie-Anne-Renée-Adèle|Macaire Moreau de Comagny, dite Mlle|HERVEY|Marie-Anne-Renée-Adèle|marie-anne-renée-adèle hervey|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008142&ref=BIB00036570&p=1
8143|Personne|1784-1863|Comédien|PERRIER|Antoine|Antoine|Périer, dit|PERRIER|Antoine|antoine perrier|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008143&ref=BIB00036570&p=1
8144|Personne|1775-1849|Comédien|JOANNY|Jean-Bernard|Jean-Bernard|Brisebarre, dit|JOANNY|Jean-Bernard|jean-bernard joanny|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008144&ref=BIB00036570&p=1
8145|Personne|1799-1835|Comédien|VALMONZEY|Catherine-Caroline|Catherine-Caroline|Comte, dite Mlle|VALMONZEY|Catherine-Caroline|catherine-caroline valmonzey|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008145&ref=BIB00036570&p=1
8146|Personne|1796-1872|Comédien|LIGIER|Pierre-Mathieu|Pierre-Mathieu||LIGIER||pierre-mathieu ligier|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008146&ref=BIB00036570&p=1
8147|Personne|1777-1848|Comédien|ARMAND-DAILLY|Alexandre-Michel|Alexandre-Michel|Dailly, dit|ARMAND-DAILLY|Alexandre-Michel|alexandre-michel armand-dailly|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008147&ref=BIB00036570&p=1
8149|Personne|1777-1846|Comédien|GUIAUD|Joseph-François|Joseph-François||GUIAUD||joseph-françois guiaud|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008149&ref=BIB00036570&p=1
8153|Personne|1798-1865|Comédien|PROVOST|Jean-Baptiste François|Jean-Baptiste François||PROVOST||jean-baptiste françois provost|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008153&ref=BIB00036570&p=1
31173|Personne|1635-1692|Auteur|LA GRANGE|Charles Varlet, sieur de|Charles Varlet, sieur de||LA GRANGE||charles varlet, sieur de la grange|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00031173&ref=BIB00036570&p=1
32225|Personne|1741-1803|Auteur|CHODERLOS DE LACLOS|Pierre Ambroise|Pierre Ambroise||CHODERLOS DE LACLOS||pierre ambroise choderlos de laclos|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00032225&ref=BIB00036570&p=1
32747|Personne|1773-1844|Auteur|Guilbert de Pixérécourt|René Charles|René Charles||Guilbert de Pixérécourt||rené charles guilbert de pixérécourt|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00032747&ref=BIB00036570&p=1
32757|Personne|1783-1833|Auteur|DUCANGE|Victor|Victor||DUCANGE||victor ducange|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00032757&ref=BIB00036570&p=1
34028|Personne|1737-1814|Auteur|BERNARDIN DE SAINT PIERRE|Jacques-Henri|Jacques-Henri||BERNARDIN DE SAINT PIERRE||jacques-henri bernardin de saint pierre|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00034028&ref=BIB00036570&p=1
35645|Personne|1764-1846|Auteur|JOUY|Victor-Joseph Etienne|Victor-Joseph Etienne||JOUY||victor-joseph etienne jouy|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00035645&ref=BIB00036570&p=1
35738|Personne|1789-1855|Auteur|Bis|Hippolyte-Louis-Florent|Hippolyte-Louis-Florent||Bis||hippolyte-louis-florent bis|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00035738&ref=BIB00036570&p=1
36819|Personne|1729-1791|Peintre|LENOIR|Simon-Bernard|Simon-Bernard||LENOIR||simon-bernard lenoir|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036819&ref=BIB00036570&p=1
36829|Personne|1769-1846|Peintre|ROMANCE-ROMANY|Adèle|Adèle||ROMANCE-ROMANY||adèle romance-romany|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036829&ref=BIB00036570&p=1
36833|Personne|1799-1852|Peintre|DECAISNE|Henri|Henri||DECAISNE||henri decaisne|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036833&ref=BIB00036570&p=1
36849|Personne|1644-1717|Peintre|JOUVENET|Jean-Baptiste|Jean-Baptiste||JOUVENET||jean-baptiste jouvenet|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036849&ref=BIB00036570&p=1
36851|Personne|1726-1806|Peintre|DOYEN|Gabriel-François|Gabriel-François||DOYEN||gabriel-françois doyen|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036851&ref=BIB00036570&p=1
36853|Personne|1772-1850|Peintre|PINCHON|Jean-Antoine|Jean-Antoine||PINCHON||jean-antoine pinchon|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036853&ref=BIB00036570&p=1
36859|Personne|1694-1752|Peintre|COYPEL|Charles-Antoine|Charles-Antoine||COYPEL||charles-antoine coypel|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036859&ref=BIB00036570&p=1
36861|Personne|1770-1837|Peintre|GERARD|François Pascal Simon, baron|François Pascal Simon, baron||GERARD||françois pascal simon, baron gerard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036861&ref=BIB00036570&p=1
36883|Personne|1727-1775|Peintre|DROUAIS|François-Hubert|François-Hubert||DROUAIS||françois-hubert drouais|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036883&ref=BIB00036570&p=1
36894|Personne|1685-1765|Peintre|GUESLAIN|Charles-Etienne|Charles-Etienne||GUESLAIN||charles-etienne gueslain|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036894&ref=BIB00036570&p=1
36900|Personne|1762-1848|Peintre|VIEN|Joseph-Marie|Joseph-Marie||VIEN||joseph-marie vien|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036900&ref=BIB00036570&p=1
36911|Personne|1777-1840|Peintre|VAFFLARD|Pierre-Antoine-Augustin|Pierre-Antoine-Augustin||VAFFLARD||pierre-antoine-augustin vafflard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036911&ref=BIB00036570&p=1
36913|Personne|1705-1765|Peintre|VAN LOO|Carle|Carle||VAN LOO||carle van loo|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036913&ref=BIB00036570&p=1
36915|Personne|1754-1837|Peintre|MONSIAU|Nicolas-André|Nicolas-André||MONSIAU||nicolas-andré monsiau|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036915&ref=BIB00036570&p=1
36920|Personne|1761-1827|Peintre|DESBORDES|Constant|Constant||DESBORDES||constant desbordes|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036920&ref=BIB00036570&p=1
36924|Personne|1715-1767|Peintre|VIGEE|Louis|Louis||VIGEE||louis vigee|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036924&ref=BIB00036570&p=1
36930|Personne|1789-1852|Peintre|ROUILLARD|Sébastien|Sébastien||ROUILLARD||sébastien rouillard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036930&ref=BIB00036570&p=1
36940|Personne|1725-1805|Peintre|GREUZE|Jean-Baptiste|Jean-Baptiste||GREUZE||jean-baptiste greuze|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036940&ref=BIB00036570&p=1
36977|Personne|1774-1832|Peintre|LAGRENEE|Anthelme-François|Anthelme-François||LAGRENEE||anthelme-françois lagrenee|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036977&ref=BIB00036570&p=1
36987|Personne|1699-1789|Peintre|JEAURAT|Etienne|Etienne||JEAURAT||etienne jeaurat|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036987&ref=BIB00036570&p=1
36989|Personne|1797-1890|Peintre|ROBERT-FLEURY|Joseph-Nicolas|Joseph-Nicolas||ROBERT-FLEURY||joseph-nicolas robert-fleury|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00036989&ref=BIB00036570&p=1
37004|Personne|1768-1823|Peintre|BOUTON|Joseph|Joseph||BOUTON||joseph bouton|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037004&ref=BIB00036570&p=1
37029|Personne|1793-1865|Peintre|PERNOT|François-Alexandre|François-Alexandre||PERNOT||françois-alexandre pernot|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037029&ref=BIB00036570&p=1
37032|Personne|1748-1825|Peintre|DAVID|Jacques-Louis|Jacques-Louis||DAVID||jacques-louis david|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037032&ref=BIB00036570&p=1
37086|Personne|1758-1832|Peintre|DESORIA|Jean-Baptiste|Jean-Baptiste||DESORIA||jean-baptiste desoria|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037086&ref=BIB00036570&p=1
37095|Personne|1645-1730|Peintre|TROY|François de|François de||TROY||françois de troy|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037095&ref=BIB00036570&p=1
37097|Personne|1775-1847|Peintre|DUCIS|Louis|Louis||DUCIS||louis ducis|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037097&ref=BIB00036570&p=1
37099|Personne|1780-1867|Peintre|INGRES|Jean-Dominique|Jean-Dominique||INGRES||jean-dominique ingres|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037099&ref=BIB00036570&p=1
37112|Personne|1778-1847|Peintre|SAINT|Daniel|Daniel||SAINT||daniel saint|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037112&ref=BIB00036570&p=1
37119|Personne|1788-1875|Peintre|PINGRET|Edouard|Edouard||PINGRET||edouard pingret|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037119&ref=BIB00036570&p=1
37124|Personne|1780-1844|Peintre|JACQUES|Nicolas|Nicolas||JACQUES||nicolas jacques|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037124&ref=BIB00036570&p=1
37128|Personne|1766-1828|Peintre|PAJOU fils|Jacques Augustin Catherine|Jacques Augustin Catherine||PAJOU fils||jacques augustin catherine pajou fils|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037128&ref=BIB00036570&p=1
37131|Personne|1704-1788|Peintre|LATOUR|Maurice Quentin de|Maurice Quentin de||LATOUR||maurice quentin de latour|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037131&ref=BIB00036570&p=1
37135|Personne|1708-1785|Peintre|NONNOTTE|Donat|Donat||NONNOTTE||donat nonnotte|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037135&ref=BIB00036570&p=1
37141|Personne|1745-1836|Peintre|BELLIER|Jean-François-Marie|Jean-François-Marie||BELLIER||jean-françois-marie bellier|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037141&ref=BIB00036570&p=1
37143|Personne|1718-1793|Peintre|Roslin|Alexandre|Alexandre||Roslin||alexandre roslin|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037143&ref=BIB00036570&p=1
37148|Personne|1778-1849|Peintre|GODEFROID|Marie-Eléonore|Marie-Eléonore||GODEFROID||marie-eléonore godefroid|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037148&ref=BIB00036570&p=1
37151|Personne|1798-1862|Peintre|SCHEFFER|Henry|Henry||SCHEFFER||henry scheffer|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037151&ref=BIB00036570&p=1
37153|Personne|1756-1830|Peintre|LEFEVRE|Robert|Robert||LEFEVRE||robert lefevre|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037153&ref=BIB00036570&p=1
37158|Personne|1651-1717|Peintre|SANTERRE|Jean-Baptiste|Jean-Baptiste||SANTERRE||jean-baptiste santerre|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037158&ref=BIB00036570&p=1
37163|Personne|1733-1803|Peintre|COLSON|Jean-François Gilles|Jean-François Gilles||COLSON||jean-françois gilles colson|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037163&ref=BIB00036570&p=1
37167|Personne|1746-1825|Peintre|SICARDI|Louis-Marie|Louis-Marie||SICARDI||louis-marie sicardi|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037167&ref=BIB00036570&p=1
37182|Personne|1753-1809|Peintre|DANLOUX|Henry-Pierre|Henry-Pierre||DANLOUX||henry-pierre danloux|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037182&ref=BIB00036570&p=1
37190|Personne|1780-1850|Peintre|FRAGONARD|Alexandre Evariste|Alexandre Evariste||FRAGONARD||alexandre evariste fragonard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037190&ref=BIB00036570&p=1
37192|Personne|1661-1732|Peintre|NETSCHER|Theodor|Theodor||NETSCHER||theodor netscher|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037192&ref=BIB00036570&p=1
37197|Personne|1761-1845|Peintre|BOILLY|Louis-Léopold|Louis-Léopold||BOILLY||louis-léopold boilly|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037197&ref=BIB00036570&p=1
37199|Personne|1610-1695|Peintre|MIGNARD|Pierre|Pierre||MIGNARD||pierre mignard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037199&ref=BIB00036570&p=1
37203|Personne|1685-1766|Peintre|NATTIER|Jean-Marc|Jean-Marc||NATTIER||jean-marc nattier|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037203&ref=BIB00036570&p=1
37208|Personne|1707-1771|Peintre|VAN LOO|Louis-Michel|Louis-Michel||VAN LOO||louis-michel van loo|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037208&ref=BIB00036570&p=1
37214|Personne|1752-1817|Peintre|DROLLING|Martin|Martin||DROLLING||martin drolling|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037214&ref=BIB00036570&p=1
37223|Personne|1606-1647|Peintre|QUAST|Pieter Janz|Pieter Janz||QUAST||pieter janz quast|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037223&ref=BIB00036570&p=1
37226|Personne|1761-1837|Peintre|GERARD|Marguerite|Marguerite||GERARD||marguerite gerard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037226&ref=BIB00036570&p=1
37233|Personne|1764-1840|Peintre|ANSIAUX|Antoine Jean|Antoine Jean||ANSIAUX||antoine jean ansiaux|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037233&ref=BIB00036570&p=1
37237|Personne|1679-1752|Peintre|TROY|Jean-François de|Jean-François de||TROY||jean-françois de troy|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037237&ref=BIB00036570&p=1
37241|Personne|1656-1746|Peintre|LARGILLIERE|Nicolas de|Nicolas de||LARGILLIERE||nicolas de largilliere|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037241&ref=BIB00036570&p=1
37243|Personne|1606-1668|Peintre|MIGNARD|Nicolas|Nicolas||MIGNARD||nicolas mignard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037243&ref=BIB00036570&p=1
37253|Personne|1798-1863|Peintre|DELACROIX|Eugène|Eugène||DELACROIX||eugène delacroix|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037253&ref=BIB00036570&p=1
37273|Personne|1782-1824|Peintre|SINGRY|Jean-Baptiste|Jean-Baptiste||SINGRY||jean-baptiste singry|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037273&ref=BIB00036570&p=1
37281|Personne|1684-1721|Peintre|WATTEAU|Jean-Antoine|Jean-Antoine||WATTEAU||jean-antoine watteau|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037281&ref=BIB00036570&p=1
37292|Personne|1738-1805|Peintre|VIEN fils|Joseph-Marie|Joseph-Marie||VIEN fils||joseph-marie vien fils|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037292&ref=BIB00036570&p=1
37303|Personne|1749-1803|Peintre|LABILLE-GUIARD|Adélaïde|Adélaïde||LABILLE-GUIARD||adélaïde labille-guiard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037303&ref=BIB00036570&p=1
37334|Personne|1674-1735|Peintre|RANC|Jean|Jean||RANC||jean ranc|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037334&ref=BIB00036570&p=1
37343|Personne|1750-1817|Peintre|HOIN|Claude|Claude||HOIN||claude hoin|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037343&ref=BIB00036570&p=1
37365|Personne|1795-1867|Sculpteur|SEURRE aîné|Bernard Gabriel|Bernard Gabriel||SEURRE aîné||bernard gabriel seurre aîné|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037365&ref=BIB00036570&p=1
37396|Personne|1786-1845|Sculpteur|FLATTERS|Jean-Jacques|Jean-Jacques||FLATTERS||jean-jacques flatters|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037396&ref=BIB00036570&p=1
37401|Personne|1640-1720|Sculpteur|COYSEVOX|Antoine|Antoine||COYSEVOX||antoine coysevox|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037401&ref=BIB00036570&p=1
37411|Personne|1788-1856|Sculpteur|DAVID DANGERS|Pierre-Jean|Pierre-Jean||DAVID DANGERS||pierre-jean david dangers|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037411&ref=BIB00036570&p=1
37467|Personne|1782-1852|Sculpteur|ROMAGNESI|Antoine|Antoine||ROMAGNESI||antoine romagnesi|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037467&ref=BIB00036570&p=1
37496|Personne|1730-1809|Sculpteur|PAJOU|Augustin|Augustin||PAJOU||augustin pajou|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037496&ref=BIB00036570&p=1
37503|Personne|1749-?|Sculpteur|RICOURT|Charles|Charles||RICOURT||charles ricourt|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037503&ref=BIB00036570&p=1
37515|Personne|1704-1778|Sculpteur|LEMOYNE|Jean-Baptiste|Jean-Baptiste||LEMOYNE||jean-baptiste lemoyne|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037515&ref=BIB00036570&p=1
37521|Personne|1763-1832|Sculpteur|FORTIN|Augustin-Félix|Augustin-Félix||FORTIN||augustin-félix fortin|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037521&ref=BIB00036570&p=1
37525|Personne|1765-1836|Sculpteur|GOIS|Edme Etienne François|Edme Etienne François||GOIS||edme etienne françois gois|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037525&ref=BIB00036570&p=1
37540|Personne|1799-1872|Sculpteur|LESCORNE|Joseph Stanislas|Joseph Stanislas||LESCORNE||joseph stanislas lescorne|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037540&ref=BIB00036570&p=1
37551|Personne|1793-1862|Sculpteur|DESBOEUFS|Antoine|Antoine||DESBOEUFS||antoine desboeufs|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037551&ref=BIB00036570&p=1
37556|Personne|1773-1854|Sculpteur|MANSION|Simon|Simon||MANSION||simon mansion|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037556&ref=BIB00036570&p=1
37558|Personne|1773-1854|Sculpteur|MUHLENBECK|Georges Emile|Georges Emile||MUHLENBECK||georges emile muhlenbeck|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037558&ref=BIB00036570&p=1
37582|Personne|1728-1793|Sculpteur|DHUEZ|Jean-Baptiste|Jean-Baptiste||DHUEZ||jean-baptiste dhuez|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037582&ref=BIB00036570&p=1
37584|Personne|1733-1797|Sculpteur|BERRUER|Pierre François|Pierre François||BERRUER||pierre françois berruer|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037584&ref=BIB00036570&p=1
37592|Personne|1743-1809|Sculpteur|BOIZOT|Simon Louis|Simon Louis||BOIZOT||simon louis boizot|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037592&ref=BIB00036570&p=1
37602|Personne|1739-1815|Sculpteur|FOUCOU|Jean-Joseph|Jean-Joseph||FOUCOU||jean-joseph foucou|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037602&ref=BIB00036570&p=1
37614|Personne|1788-1881|Sculpteur|GATTEAUX|Jacques Edouard|Jacques Edouard||GATTEAUX||jacques edouard gatteaux|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037614&ref=BIB00036570&p=1
37628|Personne|1797-1858|Sculpteur|ELSHOECHT|Jean-Jacques Marie Carle|Jean-Jacques Marie Carle||ELSHOECHT||jean-jacques marie carle elshoecht|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037628&ref=BIB00036570&p=1
37638|Personne|1798-1886|Sculpteur|BOUGRON|Louis Victor|Louis Victor||BOUGRON||louis victor bougron|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037638&ref=BIB00036570&p=1
37650|Personne|1747-1810|Sculpteur|LUCAS DE MONTIGNY||||LUCAS DE MONTIGNY||lucas de montigny|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037650&ref=BIB00036570&p=1
37658|Personne|1779-1863|Sculpteur|BAY|Jean-Baptiste de|Jean-Baptiste de||BAY||jean-baptiste de bay|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037658&ref=BIB00036570&p=1
37742|Personne|1756-1813|Sculpteur|CHINARD|Joseph|Joseph||CHINARD||joseph chinard|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037742&ref=BIB00036570&p=1
37774|Personne|1798-1878|Sculpteur|DANTAN aîné|Antoine-Laurent|Antoine-Laurent||DANTAN aîné||antoine-laurent dantan aîné|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037774&ref=BIB00036570&p=1
37798|Personne|1777-1850|Sculpteur|BARTOLINO|Lorenzo|Lorenzo||BARTOLINO||lorenzo bartolino|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037798&ref=BIB00036570&p=1
37807|Personne|1767-1824|Sculpteur|TAUNAY|Charles-Auguste|Charles-Auguste||TAUNAY||charles-auguste taunay|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037807&ref=BIB00036570&p=1
37815|Personne|1669-1739|Sculpteur|THIERRY|Jean|Jean||THIERRY||jean thierry|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037815&ref=BIB00036570&p=1
37854|Personne|1786-1868|Peintre|PICOT|François-Edouard|François-Edouard||PICOT||françois-edouard picot|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037854&ref=BIB00036570&p=1
37871|Personne|1781-1853|Peintre|BLONDEL|Merry-Joseph|Merry-Joseph||BLONDEL||merry-joseph blondel|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00037871&ref=BIB00036570&p=1
2914|Personne|1648-1718|Auteur|ABEILLE|Gaspard|Gaspard||ABEILLE||gaspard abeille|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00002914&ref=BIB00036570&p=1
AUT00000397|Personne|1667-1757|Compositeur|Gilliers|Jean-Claude|Jean-Claude||Gilliers||jean-claude gilliers|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000397&ref=BIB00036570&p=1
AUT00000398|Personne|1660-1744|Compositeur|Campra|André|André||Campra||andré campra|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000398&ref=BIB00036570&p=1
AUT00000399|Personne|1657-1726|Compositeur|Delalande|Michel-Richard|Michel-Richard||Delalande||michel-richard delalande|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000399&ref=BIB00036570&p=1
AUT00000534|Personne|1762-1853|Architecte|Fontaine|Pierre-François-Léonard|Pierre-François-Léonard||Fontaine||pierre-françois-léonard fontaine|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000534&ref=BIB00036570&p=1
AUT00000535|Personne|1764-1738|Architecte|Percier|Charles|Charles||Percier||charles percier|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000535&ref=BIB00036570&p=1
AUT00000537|Personne|1747-1819|Architecte|Paris|Pierre-Adrien|Pierre-Adrien||Paris||pierre-adrien paris|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000537&ref=BIB00036570&p=1
AUT00000538|Personne|1689-1761|Auteur|Richardson|Samuel|Samuel||Richardson||samuel richardson|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000538&ref=BIB00036570&p=1
AUT00000555|Personne|1763-1817|Compositeur|MEHUL|Etienne|Etienne||MEHUL||etienne mehul|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000555&ref=BIB00036570&p=1
AUT00000560|Personne|1784-1871|Conseiller musical|FETIS|François-Joseph|François-Joseph||FETIS||françois-joseph fetis|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000560&ref=BIB00036570&p=1
AUT00000564|Personne|1489-1851|Auteur doeuvres adaptées, utilisées, continuées, etc.|COOPER|James Fenimore|James Fenimore||COOPER||james fenimore cooper|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000564&ref=BIB00036570&p=1
AUT00000574|Personne|1661-1721|Comédien|Raisin|Françoise|Françoise|Pitel de Longchamps, dite Mlle|Raisin|Françoise|françoise raisin|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000574&ref=BIB00036570&p=1
AUT00000857|Personne|1588-1672|Auteur|LA MOTHE LE VAYER||||LA MOTHE LE VAYER||la mothe le vayer|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=AUT00000857&ref=BIB00036570&p=1
