ext_id|etype|birth_death_years|mainrole|mainform|firstname|firstname1|formcompl|lastname|firstname2|computedform|url
8044|Personne|1734-1802|Comédien|MOLE|François-René|François-René||MOLE||françois-rené mole|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008044&ref=BIB00036570&p=1
8047|Personne|1746-1779|Comédien|DUBOIS|Marie-Madeleine|Marie-Madeleine|Blouin, dite Mlle|DUBOIS|Marie-Madeleine|marie-madeleine dubois|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008047&ref=BIB00036570&p=1
8048|Personne|1725-1800|Comédien|DAUBERVAL|Etienne-Dominique|Etienne-Dominique|Bercher, dit|DAUBERVAL|Etienne-Dominique|etienne-dominique dauberval|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008048&ref=BIB00036570&p=1
8049|Personne|1740-1782|Comédien|MOLE|Pierrette-Claudine-Hélène|Pierrette-Claudine-Hélène|Pinet, dite dEpinay, puis Mme|MOLE||pierrette-claudine-hélène mole|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008049&ref=BIB00036570&p=1
8050|Personne|1733-1783|Comédien|AUGE|François|François||AUGE||françois auge|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008050&ref=BIB00036570&p=1
8051|Personne|1732-1783|Comédien|BOURET|Antoine-Claude|Antoine-Claude||BOURET||antoine-claude bouret|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008051&ref=BIB00036570&p=1
8052|Personne|1746-1823|Comédien|DOLIGNY|Louise-Adélaïde|Louise-Adélaïde|Berton-Maisonneuve, dite Mlle|DOLIGNY|Louise-Adélaïde|louise-adélaïde doligny|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008052&ref=BIB00036570&p=1
8053|Personne|1747-1830|Comédien|LUZY|Dorothée|Dorothée||LUZY||dorothée luzy|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008053&ref=BIB00036570&p=1
8054|Personne|1728-1806|Comédien|AUFRESNE|Jean|Jean|Rival, dit|AUFRESNE|Jean|jean aufresne|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008054&ref=BIB00036570&p=1
8055|Personne|1745-1821|Comédien|FANIER|Alexandrine-Louise|Alexandrine-Louise||FANIER||alexandrine-louise fanier|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008055&ref=BIB00036570&p=1
8056|Personne|1736-1774|Comédien|FEULIE|Louis-Henri|Louis-Henri||FEULIE||louis-henri feulie|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008056&ref=BIB00036570&p=1
8057|Personne|1743-1830|Comédien|SAINT-VAL aînée|Marie-Pauline-Christine|Marie-Pauline-Christine|Alziari de Roquefort , dite Mlle|SAINT-VAL aînée|Marie-Pauline-Christine|marie-pauline-christine saint-val aînée|http://www.comedie-francaise.fr/la-grange-autorite.php?id=555&aut=00008057&ref=BIB00036570&p=1
